2312	-168	68
2241	2171	73
1296	1610	143
224	2160	76
-584	2324	77
-553	2465	139
-37	2508	80
-321	2796	79
-139	2282	16694
-590	1786	17148
-1636	1246	17053
-2410	913	293
-2731	582	84
-2864	-484	82
-2326	-1135	108
-2053	-820	79
-2710	-237	81
-2451	-61	60
-2571	-256	79
-2660	-546	77
-2611	-1336	55
-2493	-2153	77
-2719	-2062	79
-3939	-1542	53
-3992	-1475	79
-3742	-1700	78
-2836	-1709	60
-2340	-1411	76
-2087	-1811	80
-1483	-2023	64
-2043	-2200	123
-2338	-2186	79
-1775	-2406	71
-1067	-3358	145
-326	-3419	79
163	-2737	77
399	-1483	145
970	-616	77
1351	24	77
1983	263	134
2317	-35	77
2465	-161	78
2132	139	121
1508	1081	78
1290	1459	77
1445	1912	75
2881	2715	77
3151	3759	77
3333	4309	79
3787	4609	79
2978	4805	78
2251	4687	54
2177	4185	76
2516	3250	78
3023	3200	55
3027	3816	78
2746	4947	80
2905	5347	65
2967	5052	77
2924	4479	74
1539	3284	63
2323	2297	86
1372	1564	77
105	2228	73
-558	2535	144
-697	2498	77
-117	2337	73
-381	2583	147
-400	2089	16910
-553	1520	16958
-1890	912	16986
-2593	842	246
-2823	352	84
-2657	-629	129
-2208	-1046	80
-2029	-762	82
-2495	128	86
-2515	303	77
-2355	91	78
-2574	-479	72
-2564	-1378	79
-2303	-2179	78
-2966	-2294	56
-3855	-1508	79
-4277	-1580	79
-3964	-1794	58
-2908	-2090	79
-2240	-1850	80
-1952	-1869	69
-1557	-2000	135
-1750	-1915	77
-2261	-1957	74
-1686	-2228	144
-823	-3290	78
-333	-3531	77
209	-2826	142
262	-1499	78
849	-637	78
1341	-41	132
1853	226	76
2456	32	79
2327	-44	129
2194	135	78
1561	1179	79
1303	1637	87
1629	2172	78
2926	2821	79
3233	3599	63
3294	4178	78
3678	4432	80
2926	4749	53
2090	4704	79
2093	4137	81
2554	3254	58
2964	3106	79
3043	3924	80
2897	5088	57
2885	5444	77
2962	5209	79
2934	4566	63
2475	3325	138
2133	2203	79
1316	1508	71
263	2134	147
-527	2479	76
-927	2519	75
-150	2421	144
-354	2574	77
-418	2079	16918
-634	1398	16911
-1514	870	17107
